DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"122024",122024,Mk10,DS,6,0,3,30,30,23:00:38 11-Sep-2012,A,,,,,,,,,-125,
"122024",122024,Mk10,DS,2,0,2,300,300,02:16:05 12-Sep-2012,N,B,-39.6340,176.8740,,,8,,401644012,-129,
"122024",122024,Mk10,DS,1,0,0,,,04:14:33 12-Sep-2012,K,B,-39.6410,176.8680,,,8,,401644008,-136,
"122024",122024,Mk10,DS,6,0,6,83,30,06:03:02 12-Sep-2012,K,3,-39.6630,176.8810,,,58,,401644001,-122,
"122024",122024,Mk10,DS,1,0,1,,,07:37:01 12-Sep-2012,K,B,-39.6730,176.8800,,,8,,401644004,-136,
"122024",122024,Mk10,DS,19,0,11,35,30,07:49:01 12-Sep-2012,M,1,-39.6600,176.8960,,,50,,401644001,-122,
"122024",122024,Mk10,DS,2,0,1,30,30,07:56:46 12-Sep-2012,A,B,-39.6710,176.8840,,,,,401644004,-135,
"122024",122024,Mk10,DS,18,0,8,38,30,08:28:38 12-Sep-2012,L,3,-39.6630,176.8800,,,58,,401644001,-125,
"122024",122024,Mk10,DS,7,0,5,70,30,09:26:59 12-Sep-2012,M,2,-39.6660,176.8830,,,58,,401644002,-131,
"122024",122024,Mk10,DS,22,0,21,35,30,09:37:36 12-Sep-2012,A,3,-39.6640,176.8810,,,50,,401644001,-118,
"122024",122024,Mk10,DS,17,0,17,35,30,10:09:55 12-Sep-2012,L,3,-39.6630,176.8810,,,58,,401644002,-127,
"122024",122024,Mk10,DS,2,0,1,210,210,11:01:28 12-Sep-2012,P,B,-39.6650,176.8880,,,8,,401644003,-139,
"122024",122024,Mk10,DS,17,0,10,39,30,11:13:38 12-Sep-2012,A,3,-39.6630,176.8820,,,50,,401644002,-120,
"122024",122024,Mk10,DS,16,0,8,44,30,12:40:45 12-Sep-2012,P,3,-39.6630,176.8770,,,58,,401644007,-124,
"122024",122024,Mk10,DS,13,0,7,47,30,13:43:34 12-Sep-2012,N,3,-39.6630,176.8780,,,58,,401644013,-123,
"122024",122024,Mk10,DS,19,0,19,33,30,14:20:44 12-Sep-2012,P,3,-39.6630,176.8850,,,58,,401644019,-128,
"122024",122024,Mk10,DS,21,0,21,37,30,15:23:01 12-Sep-2012,N,3,-39.6630,176.8820,,,58,,401644026,-127,
"122024",122024,Mk10,DS,16,0,16,40,30,15:39:08 12-Sep-2012,K,3,-39.6630,176.8780,,,50,,401644029,-126,
"122024",122024,Mk10,DS,21,0,21,34,30,17:16:10 12-Sep-2012,K,3,-39.6680,176.8790,,,58,,401644034,-125,
"122024",122024,Mk10,DS,15,0,13,38,30,17:28:40 12-Sep-2012,M,3,-39.6630,176.8880,,,50,,401644033,-129,
"122024",122024,Mk10,DS,13,0,13,57,30,19:09:57 12-Sep-2012,M,1,-39.6610,176.8570,,,58,,401644004,-120,
"122024",122024,Mk10,DS,3,0,3,120,60,19:18:02 12-Sep-2012,A,A,-39.6640,176.8830,,,8,,401644001,-125,
"122024",122024,Mk10,DS,7,0,7,40,30,19:58:52 12-Sep-2012,L,1,-39.6680,176.8990,,,58,,401644008,-124,
"122024",122024,Mk10,DS,1,0,1,,,20:47:21 12-Sep-2012,M,B,-39.6820,176.9200,,,7,,401644021,-138,
"122024",122024,Mk10,DS,14,0,14,41,30,20:57:14 12-Sep-2012,A,2,-39.6670,176.8780,,,50,,401644022,-116,
"122024",122024,Mk10,DS,4,0,4,140,30,02:16:32 21-Sep-2012,N,2,-39.6610,176.8790,,,68,,401643154,-136,
"122024",122024,Mk10,DS,16,0,16,32,30,03:03:52 21-Sep-2012,P,,,,,,,,,-124,
"122024",122024,Mk10,DS,2,0,2,212,212,18:40:00 08-Feb-2013,N,B,-64.8020,-62.8600,,,8,,401643155,-134,
"122024",122024,Mk10,DS,1,0,1,,,18:57:52 08-Feb-2013,K,B,-64.7950,-62.8400,,,,,401643182,-136,
"122024",122024,Mk10,DS,4,0,4,204,30,20:03:08 08-Feb-2013,P,0,-64.7850,-62.9050,,,58,,401643166,-126,
"122024",122024,Mk10,DS,5,0,4,84,30,20:16:10 08-Feb-2013,N,1,-64.7450,-62.8890,,,40,,401643159,-128,
"122024",122024,Mk10,DS,4,0,3,164,30,20:32:09 08-Feb-2013,K,1,-64.7380,-62.8760,,,50,,401643156,-126,
"122024",122024,Mk10,DS,4,0,2,37,30,20:40:00 08-Feb-2013,M,0,-64.7420,-62.8160,,,40,,401643146,-134,
