DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
"131116",131116,0.500000,Mk10,,19:45:32 11-Nov-2013,19:45:34 11-Nov-2013,2,,,,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131116",131116,0.500000,Mk10,,20:32:32 11-Nov-2013,20:32:34 11-Nov-2013,2,1,47.6740,-122.1390,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131116",131116,0.500000,Mk10,,20:33:32 11-Nov-2013,20:33:34 11-Nov-2013,2,1,47.6740,-122.1390,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131116",131116,0.500000,Mk10,,,20:34:34 11-Nov-2013,,1,47.6740,-122.1390,,1,0,,75,3.504,,,22.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131116",131116,0.500000,Mk10,,20:35:32 11-Nov-2013,20:35:34 11-Nov-2013,2,1,47.6740,-122.1390,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131116",131116,0.500000,Mk10,,20:36:32 11-Nov-2013,20:36:34 11-Nov-2013,2,1,47.6740,-122.1390,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131116",131116,0.500000,Mk10,,20:37:32 11-Nov-2013,20:37:34 11-Nov-2013,2,2,47.6740,-122.1380,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131116",131116,0.500000,Mk10,,,20:38:34 11-Nov-2013,,2,47.6740,-122.1380,,1,0,,79,3.504,,,22.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131116",131116,0.500000,Mk10,,21:11:32 11-Nov-2013,21:11:34 11-Nov-2013,2,2,47.6740,-122.1430,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131116",131116,0.500000,Mk10,,21:12:32 11-Nov-2013,21:12:34 11-Nov-2013,2,2,47.6740,-122.1430,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
