DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"131118",131118,Mk10,00:16:56 29-Feb-2016,,,,,,CRC 27982.13649,01:43:00 29-Feb-2016,Behavior,182,212,224,186,26,192,83,54,64,8,130,213,116,20,58,32,175,16,18,0,117,56,129,45,14,17,172,64,128,0,0,
"131118",131118,Mk10,01:25:26 29-Feb-2016,,,,,,CRC 24076.4370,00:24:00 25-Feb-2016,Behavior,181,224,192,178,6,0,75,50,65,151,75,45,146,59,176,42,14,169,243,101,56,103,231,175,214,13,52,32,199,123,186,
"131118",131118,Mk10,08:30:49 29-Feb-2016,,,,,,CRC 63101.22334,04:41:00 29-Feb-2016,Behavior,191,103,208,186,74,64,106,182,91,71,132,245,146,3,52,31,162,167,252,120,82,90,36,67,242,33,45,64,77,16,154,
"131118",131118,Mk10,11:24:27 29-Feb-2016,,,,,,CRC 18664.57909,23:53:00 28-Feb-2016,Behavior,180,142,128,185,125,120,22,226,167,34,32,37,178,134,29,128,16,24,16,237,103,112,71,152,249,255,28,144,235,221,83,
"131118",131118,Mk10,22:08:43 29-Feb-2016,,,,,,CRC 6120.25270,00:21:00 23-Sep-2016,Behavior,177,126,130,110,5,124,36,217,4,79,184,1,127,245,2,23,222,58,88,226,15,100,74,67,189,15,185,86,69,245,216,
"131118",131118,Mk10,04:32:58 01-Mar-2016,,,,,,CRC 19426.2952,14:37:00 29-Feb-2016,Behavior,180,190,32,186,233,65,48,136,192,247,14,144,68,9,56,98,38,48,81,197,5,77,96,4,7,194,234,1,217,0,0,
"131118",131118,Mk10,06:53:01 01-Mar-2016,,,,,,CRC 10349.22199,22:01:00 29-Feb-2016,Behavior,178,134,208,187,96,64,172,7,128,24,7,233,127,148,159,192,22,240,3,45,180,173,11,142,4,206,65,94,218,252,185,
"131118",131118,Mk10,07:00:43 01-Mar-2016,,,,,,CRC 63187.13627,22:00:00 28-Feb-2016,DiveDepth,63,109,48,185,101,224,67,240,120,15,11,36,21,130,20,16,8,15,9,101,178,99,5,202,68,106,121,31,135,229,81,
"131118",131118,Mk10,08:00:23 01-Mar-2016,,,,,,CRC 2000.56703,07:28:00 01-Mar-2016,Behavior,176,125,0,194,119,0,122,129,254,0,251,1,124,192,63,254,2,79,110,2,241,10,164,101,9,61,138,108,63,182,0,
"131118",131118,Mk10,08:03:34 01-Mar-2016,,,,,,CRC 63187.25761,22:00:00 28-Feb-2016,DiveDepth,63,109,48,185,101,240,3,255,224,30,30,44,30,31,138,67,207,212,46,170,57,0,241,69,129,128,1,0,8,0,31,
"131118",131118,Mk10,20:49:37 01-Mar-2016,,,,,,CRC 49586.65082,15:54:00 06-Mar-2016,Behavior,188,27,32,204,253,157,28,132,71,221,0,62,128,64,234,83,125,231,63,91,35,44,87,164,97,16,68,158,54,1,169,
"131118",131118,Mk10,00:06:53 02-Mar-2016,,,,,,CRC 15044.32949,21:03:00 29-Feb-2016,Behavior,179,172,64,187,80,193,23,44,128,118,142,177,52,0,64,83,201,160,2,2,41,113,0,96,8,8,97,130,205,9,66,
"131118",131118,Mk10,02:26:45 02-Mar-2016,,,0,-63.6510,-56.3890,CRC 7767.15280,22:07:00 01-Mar-2016,Behavior,177,229,112,195,97,192,33,6,129,128,4,83,6,9,241,123,147,196,23,243,239,136,35,0,11,224,100,60,227,97,91,
"131118",131118,Mk10,02:28:26 02-Mar-2016,,,0,-63.6510,-56.3890,CRC 47104.25423,21:39:00 04-Jul-2016,Behavior,187,128,1,201,89,192,240,70,146,81,69,205,2,252,74,57,50,210,254,159,154,183,176,67,9,152,0,1,69,96,128,
"131118",131118,Mk10,02:29:22 02-Mar-2016,,,0,-63.6510,-56.3890,CRC 62240.45856,07:29:09 02-Mar-2016,Status,0,0,196,119,73,243,32,,,,,,,,,,,,,,,,,,,,,,,,,
"131118",131118,Mk10,02:30:12 02-Mar-2016,,,0,-63.6510,-56.3890,CRC 65528.61789,21:24:00 01-Mar-2016,Behavior,191,255,128,195,86,0,199,8,128,8,9,80,70,0,64,81,162,176,2,1,164,81,9,204,145,129,214,202,127,54,82,
"131118",131118,Mk10,02:40:15 02-Mar-2016,,,B,-63.6410,-56.3290,CRC 60519.1330,15:18:00 01-Mar-2016,Behavior,190,198,112,194,244,130,235,44,151,223,73,232,167,136,1,0,144,60,1,36,208,45,135,205,138,219,192,241,253,19,206,
"131118",131118,Mk10,04:12:03 02-Mar-2016,,,B,-63.6340,-56.3100,CRC 42942.63910,03:57:00 29-Feb-2016,Behavior,186,123,224,186,62,65,20,140,192,231,7,176,226,71,60,169,114,4,24,193,239,50,221,63,102,126,120,25,188,167,140,
