DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"131120",131120,Mk10,DS,3,0,2,78,53,00:12:35 29-Feb-2016,K,A,-63.4170,-56.8620,,,6,,401677448,-125,
"131120",131120,Mk10,DS,6,0,5,89,53,00:23:40 29-Feb-2016,N,1,-63.4090,-56.8430,,,46,,401677457,-125,
"131120",131120,Mk10,DS,2,0,2,129,129,00:28:46 29-Feb-2016,P,B,-63.4020,-56.8380,,,6,,401677461,-133,
"131120",131120,Mk10,DS,1,0,1,,,00:46:38 29-Feb-2016,B,B,-63.4020,-56.8380,,,6,,401677458,-134,
"131120",131120,Mk10,DS,2,0,2,67,67,01:26:40 29-Feb-2016,A,B,-63.3850,-56.8290,,,8,,401677454,-128,
"131120",131120,Mk10,DS,3,0,3,146,88,02:03:31 29-Feb-2016,N,A,-63.3620,-56.9470,,,7,,401677463,-128,
"131120",131120,Mk10,DS,2,0,2,53,53,02:06:43 29-Feb-2016,P,B,-63.3530,-56.9550,,,8,,401677452,-133,
"131120",131120,Mk10,DS,1,0,1,,,02:24:40 29-Feb-2016,B,B,-63.3390,-56.9670,,,6,,401677472,-128,
"131120",131120,Mk10,DS,3,0,2,114,78,03:08:14 29-Feb-2016,A,A,-63.2690,-57.0300,,,8,,401677454,-119,
"131120",131120,Mk10,DS,1,0,1,,,03:29:51 29-Feb-2016,K,B,-63.2540,-57.0560,,,6,,401677457,-131,
"131120",131120,Mk10,DS,3,0,3,203,191,03:48:02 29-Feb-2016,P,A,-63.2310,-57.0900,,,6,,401677459,-125,
"131120",131120,Mk10,DS,1,0,1,,,04:00:40 29-Feb-2016,B,B,-63.2200,-57.1070,,,6,,401677457,-133,
"131120",131120,Mk10,DS,1,0,1,,,04:51:53 29-Feb-2016,A,B,-63.1900,-57.1560,,,8,,401677449,-122,
"131120",131120,Mk10,DS,1,0,1,,,05:08:42 29-Feb-2016,K,B,-63.2070,-57.1360,,,6,,401677476,-133,
"131120",131120,Mk10,DS,1,0,1,,,06:48:07 29-Feb-2016,K,B,-63.1620,-57.2500,,,7,,401677497,-133,
"131120",131120,Mk10,DS,1,0,1,,,07:01:23 29-Feb-2016,N,B,-63.1540,-57.2650,,,7,,401677501,-135,
"131120",131120,Mk10,DS,1,0,1,,,07:07:23 29-Feb-2016,P,B,-63.1410,-57.2910,,,6,,401677493,-130,
"131120",131120,Mk10,DS,2,0,1,196,196,08:04:19 29-Feb-2016,A,B,-63.1120,-57.3370,,,8,,401677488,-132,
"131120",131120,Mk10,DS,4,0,4,192,128,08:26:51 29-Feb-2016,K,0,-63.1750,-57.3870,,,56,,401677460,-120,
"131120",131120,Mk10,DS,2,0,1,622,622,08:45:25 29-Feb-2016,N,B,-63.1890,-57.2850,,,6,,401677462,-131,
"131120",131120,Mk10,DS,3,0,1,254,148,08:59:14 29-Feb-2016,R,A,-63.1900,-57.1960,,,6,,401677455,-131,
"131120",131120,Mk10,DS,1,0,1,,,09:45:29 29-Feb-2016,A,B,-63.1610,-57.2330,,,8,,401677442,-119,
"131120",131120,Mk10,DS,1,0,1,,,10:10:41 29-Feb-2016,K,B,-63.1880,-57.1510,,,6,,401677497,-137,
"131120",131120,Mk10,DS,1,0,1,,,10:23:06 29-Feb-2016,N,B,-63.2000,-57.1450,,,6,,401677522,-131,
"131120",131120,Mk10,DS,4,0,3,111,52,10:41:32 29-Feb-2016,R,1,-63.3120,-56.9620,,,56,,401677458,-123,
"131120",131120,Mk10,DS,3,0,2,161,58,11:24:08 29-Feb-2016,A,A,-63.3630,-56.9960,,,8,,401677462,-126,
"131120",131120,Mk10,DS,1,0,1,,,12:14:28 29-Feb-2016,B,B,-63.2680,-57.0620,,,7,,401677492,-134,
"131120",131120,Mk10,DS,2,0,2,262,262,12:21:09 29-Feb-2016,R,B,-63.3830,-56.8820,,,6,,401677450,-122,
"131120",131120,Mk10,DS,8,0,5,84,54,12:59:50 29-Feb-2016,A,1,-63.4410,-56.8920,,,47,,401677460,-113,
"131120",131120,Mk10,DS,5,0,4,110,69,13:57:52 29-Feb-2016,R,2,-63.4570,-56.9540,,,58,,401677460,-130,
"131120",131120,Mk10,DS,1,0,1,,,14:00:57 29-Feb-2016,B,B,-63.4580,-56.9570,,,6,,401677457,-133,
"131120",131120,Mk10,DS,1,0,0,,,14:46:39 29-Feb-2016,A,B,-63.4640,-56.9940,,,8,,401677458,-132,
"131120",131120,Mk10,DS,3,0,2,93,49,15:37:45 29-Feb-2016,R,A,-63.4650,-56.9980,,,8,,401677457,-136,
"131120",131120,Mk10,DS,4,0,4,140,55,17:11:55 29-Feb-2016,R,1,-63.4660,-56.9040,,,48,,401677468,-129,
"131120",131120,Mk10,DS,3,0,3,205,56,17:37:06 29-Feb-2016,P,A,-63.4460,-56.9020,,,6,,401677455,-132,
"131120",131120,Mk10,DS,6,0,5,130,68,19:15:32 29-Feb-2016,P,1,-63.4550,-56.9780,,,48,,401677462,-121,
"131120",131120,Mk10,DS,4,0,3,133,51,20:26:20 29-Feb-2016,K,1,-63.4500,-56.9500,,,48,,401677457,-135,
"131120",131120,Mk10,DS,4,0,1,146,51,20:28:48 29-Feb-2016,R,0,-63.4590,-56.9750,,,46,,401677459,-117,
"131120",131120,Mk10,DS,4,0,3,182,55,20:46:57 29-Feb-2016,N,0,-63.4690,-56.9510,,,46,,401677461,-129,
"131120",131120,Mk10,DS,4,0,0,118,87,22:09:31 29-Feb-2016,K,1,-63.4510,-56.9560,,,48,,401677462,-122,
"131120",131120,Mk10,DS,3,0,1,134,94,22:10:29 29-Feb-2016,R,A,-63.4650,-56.9260,,,8,,401677454,-131,
"131120",131120,Mk10,DS,2,0,2,455,455,22:30:17 29-Feb-2016,N,B,-63.4570,-56.9950,,,8,,401677463,-129,
"131120",131120,Mk10,DS,1,0,1,,,22:39:27 29-Feb-2016,P,B,-63.4570,-56.9930,,,6,,401677450,-137,
"131120",131120,Mk10,DS,2,0,2,218,218,00:13:58 01-Mar-2016,N,B,-63.5380,-56.9240,,,7,,401677482,-122,
"131120",131120,Mk10,DS,2,0,2,194,194,02:02:10 01-Mar-2016,B,B,-63.4820,-56.7430,,,6,,401677545,-126,
"131120",131120,Mk10,DS,1,0,1,,,03:03:44 01-Mar-2016,K,B,-63.4280,-56.6670,,,8,,401677443,-129,
"131120",131120,Mk10,DS,4,0,4,115,48,03:31:10 01-Mar-2016,N,0,-63.3190,-56.6340,,,46,,401677464,-132,
"131120",131120,Mk10,DS,4,0,2,66,52,03:38:32 01-Mar-2016,P,0,-63.3300,-56.5960,,,48,,401677466,-122,
"131120",131120,Mk10,DS,3,0,2,99,71,03:38:47 01-Mar-2016,B,A,-63.3240,-56.6090,,,6,,401677469,-126,
"131120",131120,Mk10,DS,4,0,4,139,52,04:28:08 01-Mar-2016,A,1,-63.4030,-56.6440,,,48,,401677462,-118,
"131120",131120,Mk10,DS,1,0,1,,,04:41:56 01-Mar-2016,K,B,-63.3010,-56.5710,,,6,,401677496,-133,
"131120",131120,Mk10,DS,2,0,2,202,202,05:06:26 01-Mar-2016,N,B,-63.3000,-56.6380,,,6,,401677497,-135,
"131120",131120,Mk10,DS,1,0,1,,,06:49:59 01-Mar-2016,N,B,-63.2570,-56.6130,,,6,,401677541,-123,
"131120",131120,Mk10,DS,4,0,3,94,82,06:58:41 01-Mar-2016,P,0,-63.4990,-56.6130,,,48,,401677468,-126,
"131120",131120,Mk10,DS,1,0,1,,,07:42:36 01-Mar-2016,A,B,-63.5120,-56.5900,,,7,,401677480,-130,
"131120",131120,Mk10,DS,7,0,5,90,52,08:03:11 01-Mar-2016,K,1,-63.4950,-56.8580,,,46,,401677467,-122,
"131120",131120,Mk10,DS,2,0,1,431,431,08:30:07 01-Mar-2016,N,B,-63.5710,-56.6450,,,8,,401677468,-123,
"131120",131120,Mk10,DS,1,0,1,,,10:10:19 01-Mar-2016,N,B,-63.5870,-56.6750,,,8,,401677422,-140,
"131120",131120,Mk10,DS,1,0,1,,,10:10:19 01-Mar-2016,R,B,-63.5430,-56.7500,,,,,401677487,-118,
"131120",131120,Mk10,DS,1,0,1,,,10:15:53 01-Mar-2016,B,B,-63.5360,-56.7430,,,6,,401677473,-133,
"131120",131120,Mk10,DS,2,0,1,279,279,11:03:19 01-Mar-2016,A,B,-63.5540,-56.8740,,,8,,401677444,-121,
"131120",131120,Mk10,DS,1,0,0,,,11:51:08 01-Mar-2016,B,B,-63.5800,-56.7560,,,8,,401677461,-132,
"131120",131120,Mk10,DS,1,0,0,,,11:53:11 01-Mar-2016,R,B,-63.5800,-56.7460,,,8,,401677469,-133,
"131120",131120,Mk10,DS,2,0,2,242,242,12:44:24 01-Mar-2016,A,B,-63.5020,-56.7410,,,8,,401677450,-117,
"131120",131120,Mk10,DS,1,0,1,,,13:28:04 01-Mar-2016,R,B,-63.5410,-56.8370,,,7,,401677476,-129,
"131120",131120,Mk10,DS,2,0,2,78,78,14:23:44 01-Mar-2016,A,B,-63.4680,-56.8260,,,8,,401677431,-125,
"131120",131120,Mk10,DS,2,0,2,200,200,16:40:24 01-Mar-2016,R,B,-63.4630,-56.7720,,,8,,401677445,-133,
"131120",131120,Mk10,DS,1,0,0,,,18:17:28 01-Mar-2016,R,B,-63.4430,-56.7820,,,8,,401677435,-132,
"131120",131120,Mk10,DS,2,0,2,132,132,20:01:54 01-Mar-2016,K,B,-63.4130,-56.7390,,,7,,401677456,-132,
"131120",131120,Mk10,DS,2,0,2,132,132,20:01:54 01-Mar-2016,R,B,-63.4140,-56.7880,,,7,,401677460,-125,
"131120",131120,Mk10,DS,4,0,3,91,77,20:39:35 01-Mar-2016,N,0,-63.4250,-56.7260,,,47,,401677471,-127,
"131120",131120,Mk10,DS,6,0,6,121,60,20:45:58 01-Mar-2016,P,1,-63.4230,-56.7660,,,58,,401677463,-122,
"131120",131120,Mk10,DS,2,0,2,274,274,22:17:32 01-Mar-2016,N,B,-63.4380,-56.6810,,,8,,401677467,-121,
"131120",131120,Mk10,DS,2,0,2,104,104,22:28:53 01-Mar-2016,P,B,-63.4360,-56.6670,,,6,,401677470,-131,
"131120",131120,Mk10,DS,3,0,1,117,66,00:02:44 02-Mar-2016,N,A,-63.5000,-56.6550,,,8,,401677460,-125,
"131120",131120,Mk10,DS,2,0,1,234,234,00:06:20 02-Mar-2016,P,B,-63.5140,-56.6830,,,6,,401677479,-135,
"131120",131120,Mk10,DS,2,0,1,455,455,00:51:12 02-Mar-2016,A,B,-63.5550,-56.7150,,,8,,401677471,-129,
"131120",131120,Mk10,DS,1,0,1,,,01:00:07 02-Mar-2016,K,B,-63.5250,-56.6670,,,8,,401677483,-129,
"131120",131120,Mk10,DS,6,0,3,108,67,02:25:46 02-Mar-2016,A,0,-63.5660,-56.6520,,,58,,401677467,-117,
"131120",131120,Mk10,DS,3,0,2,152,142,02:40:11 02-Mar-2016,K,A,-63.5780,-56.7390,,,6,,401677455,-129,
"131120",131120,Mk10,DS,1,0,1,,,03:18:08 02-Mar-2016,B,B,-63.5810,-56.6430,,,7,,401677478,-135,
"131120",131120,Mk10,DS,1,0,1,,,03:18:08 02-Mar-2016,N,B,-63.5830,-56.6610,,,7,,401677483,-137,
"131120",131120,Mk10,DS,2,0,2,408,408,03:25:37 02-Mar-2016,P,B,-63.5610,-56.6740,,,6,,401677471,-135,
"131120",131120,Mk10,DS,1,0,1,,,04:09:07 02-Mar-2016,A,B,-63.5710,-56.6770,,,7,,401677483,-122,
"131120",131120,Mk10,DS,2,0,2,238,238,04:55:55 02-Mar-2016,N,B,-63.5710,-56.7480,,,8,,401677463,-131,
"131120",131120,Mk10,DS,3,0,1,113,79,05:05:50 02-Mar-2016,P,A,-63.5620,-56.7480,,,6,,401677460,-125,
