DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"131120",131120,Mk10,00:12:35 29-Feb-2016,Argos,A,-63.4170,-56.8620,,,,,,,,,
"131120",131120,Mk10,00:23:40 29-Feb-2016,Argos,1,-63.4090,-56.8430,,,,,,,,,
"131120",131120,Mk10,00:28:46 29-Feb-2016,Argos,B,-63.4020,-56.8380,,,,,,,,,
"131120",131120,Mk10,00:46:38 29-Feb-2016,Argos,B,-63.4020,-56.8380,,,,,,,,,
"131120",131120,Mk10,01:26:40 29-Feb-2016,Argos,B,-63.3850,-56.8290,,,,,,,,,
"131120",131120,Mk10,02:03:31 29-Feb-2016,Argos,A,-63.3620,-56.9470,,,,,,,,,
"131120",131120,Mk10,02:06:43 29-Feb-2016,Argos,B,-63.3530,-56.9550,,,,,,,,,
"131120",131120,Mk10,02:24:40 29-Feb-2016,Argos,B,-63.3390,-56.9670,,,,,,,,,
"131120",131120,Mk10,03:08:14 29-Feb-2016,Argos,A,-63.2690,-57.0300,,,,,,,,,
"131120",131120,Mk10,03:29:51 29-Feb-2016,Argos,B,-63.2540,-57.0560,,,,,,,,,
"131120",131120,Mk10,03:48:02 29-Feb-2016,Argos,A,-63.2310,-57.0900,,,,,,,,,
"131120",131120,Mk10,04:00:40 29-Feb-2016,Argos,B,-63.2200,-57.1070,,,,,,,,,
"131120",131120,Mk10,04:51:53 29-Feb-2016,Argos,B,-63.1900,-57.1560,,,,,,,,,
"131120",131120,Mk10,05:08:42 29-Feb-2016,Argos,B,-63.2070,-57.1360,,,,,,,,,
"131120",131120,Mk10,06:48:07 29-Feb-2016,Argos,B,-63.1620,-57.2500,,,,,,,,,
"131120",131120,Mk10,07:01:23 29-Feb-2016,Argos,B,-63.1540,-57.2650,,,,,,,,,
"131120",131120,Mk10,07:07:23 29-Feb-2016,Argos,B,-63.1410,-57.2910,,,,,,,,,
"131120",131120,Mk10,08:04:19 29-Feb-2016,Argos,B,-63.1120,-57.3370,,,,,,,,,
"131120",131120,Mk10,08:26:51 29-Feb-2016,Argos,0,-63.1750,-57.3870,,,,,,,,,
"131120",131120,Mk10,08:45:25 29-Feb-2016,Argos,B,-63.1890,-57.2850,,,,,,,,,
"131120",131120,Mk10,08:59:14 29-Feb-2016,Argos,A,-63.1900,-57.1960,,,,,,,,,
"131120",131120,Mk10,09:45:29 29-Feb-2016,Argos,B,-63.1610,-57.2330,,,,,,,,,
"131120",131120,Mk10,10:10:41 29-Feb-2016,Argos,B,-63.1880,-57.1510,,,,,,,,,
"131120",131120,Mk10,10:23:06 29-Feb-2016,Argos,B,-63.2000,-57.1450,,,,,,,,,
"131120",131120,Mk10,10:41:32 29-Feb-2016,Argos,1,-63.3120,-56.9620,,,,,,,,,
"131120",131120,Mk10,11:24:08 29-Feb-2016,Argos,A,-63.3630,-56.9960,,,,,,,,,
"131120",131120,Mk10,12:14:28 29-Feb-2016,Argos,B,-63.2680,-57.0620,,,,,,,,,
"131120",131120,Mk10,12:21:09 29-Feb-2016,Argos,B,-63.3830,-56.8820,,,,,,,,,
"131120",131120,Mk10,12:59:50 29-Feb-2016,Argos,1,-63.4410,-56.8920,,,,,,,,,
"131120",131120,Mk10,13:57:52 29-Feb-2016,Argos,2,-63.4570,-56.9540,,,,,,,,,
"131120",131120,Mk10,14:00:57 29-Feb-2016,Argos,B,-63.4580,-56.9570,,,,,,,,,
"131120",131120,Mk10,14:46:39 29-Feb-2016,Argos,B,-63.4640,-56.9940,,,,,,,,,
"131120",131120,Mk10,15:37:45 29-Feb-2016,Argos,A,-63.4650,-56.9980,,,,,,,,,
"131120",131120,Mk10,17:11:55 29-Feb-2016,Argos,1,-63.4660,-56.9040,,,,,,,,,
"131120",131120,Mk10,17:37:06 29-Feb-2016,Argos,A,-63.4460,-56.9020,,,,,,,,,
"131120",131120,Mk10,19:15:32 29-Feb-2016,Argos,1,-63.4550,-56.9780,,,,,,,,,
"131120",131120,Mk10,20:26:20 29-Feb-2016,Argos,1,-63.4500,-56.9500,,,,,,,,,
"131120",131120,Mk10,20:28:48 29-Feb-2016,Argos,0,-63.4590,-56.9750,,,,,,,,,
"131120",131120,Mk10,20:46:57 29-Feb-2016,Argos,0,-63.4690,-56.9510,,,,,,,,,
"131120",131120,Mk10,22:09:31 29-Feb-2016,Argos,1,-63.4510,-56.9560,,,,,,,,,
"131120",131120,Mk10,22:10:29 29-Feb-2016,Argos,A,-63.4650,-56.9260,,,,,,,,,
"131120",131120,Mk10,22:30:17 29-Feb-2016,Argos,B,-63.4570,-56.9950,,,,,,,,,
"131120",131120,Mk10,22:39:27 29-Feb-2016,Argos,B,-63.4570,-56.9930,,,,,,,,,
"131120",131120,Mk10,00:13:58 01-Mar-2016,Argos,B,-63.5380,-56.9240,,,,,,,,,
"131120",131120,Mk10,02:02:10 01-Mar-2016,Argos,B,-63.4820,-56.7430,,,,,,,,,
"131120",131120,Mk10,03:03:44 01-Mar-2016,Argos,B,-63.4280,-56.6670,,,,,,,,,
"131120",131120,Mk10,03:31:10 01-Mar-2016,Argos,0,-63.3190,-56.6340,,,,,,,,,
"131120",131120,Mk10,03:38:32 01-Mar-2016,Argos,0,-63.3300,-56.5960,,,,,,,,,
"131120",131120,Mk10,03:38:47 01-Mar-2016,Argos,A,-63.3240,-56.6090,,,,,,,,,
"131120",131120,Mk10,04:28:08 01-Mar-2016,Argos,1,-63.4030,-56.6440,,,,,,,,,
"131120",131120,Mk10,04:41:56 01-Mar-2016,Argos,B,-63.3010,-56.5710,,,,,,,,,
"131120",131120,Mk10,05:06:26 01-Mar-2016,Argos,B,-63.3000,-56.6380,,,,,,,,,
"131120",131120,Mk10,06:49:59 01-Mar-2016,Argos,B,-63.2570,-56.6130,,,,,,,,,
"131120",131120,Mk10,06:58:41 01-Mar-2016,Argos,0,-63.4990,-56.6130,,,,,,,,,
"131120",131120,Mk10,07:42:36 01-Mar-2016,Argos,B,-63.5120,-56.5900,,,,,,,,,
"131120",131120,Mk10,08:03:11 01-Mar-2016,Argos,1,-63.4950,-56.8580,,,,,,,,,
"131120",131120,Mk10,08:30:07 01-Mar-2016,Argos,B,-63.5710,-56.6450,,,,,,,,,
"131120",131120,Mk10,10:10:19 01-Mar-2016,Argos,B,-63.5870,-56.6750,,,,,,,,,
"131120",131120,Mk10,10:10:19 01-Mar-2016,Argos,B,-63.5430,-56.7500,,,,,,,,,
"131120",131120,Mk10,10:15:53 01-Mar-2016,Argos,B,-63.5360,-56.7430,,,,,,,,,
"131120",131120,Mk10,11:03:19 01-Mar-2016,Argos,B,-63.5540,-56.8740,,,,,,,,,
"131120",131120,Mk10,11:51:08 01-Mar-2016,Argos,B,-63.5800,-56.7560,,,,,,,,,
"131120",131120,Mk10,11:53:11 01-Mar-2016,Argos,B,-63.5800,-56.7460,,,,,,,,,
"131120",131120,Mk10,12:44:24 01-Mar-2016,Argos,B,-63.5020,-56.7410,,,,,,,,,
"131120",131120,Mk10,13:28:04 01-Mar-2016,Argos,B,-63.5410,-56.8370,,,,,,,,,
"131120",131120,Mk10,14:23:44 01-Mar-2016,Argos,B,-63.4680,-56.8260,,,,,,,,,
"131120",131120,Mk10,16:40:24 01-Mar-2016,Argos,B,-63.4630,-56.7720,,,,,,,,,
"131120",131120,Mk10,18:17:28 01-Mar-2016,Argos,B,-63.4430,-56.7820,,,,,,,,,
"131120",131120,Mk10,20:01:54 01-Mar-2016,Argos,B,-63.4130,-56.7390,,,,,,,,,
"131120",131120,Mk10,20:01:54 01-Mar-2016,Argos,B,-63.4140,-56.7880,,,,,,,,,
"131120",131120,Mk10,20:39:35 01-Mar-2016,Argos,0,-63.4250,-56.7260,,,,,,,,,
"131120",131120,Mk10,20:45:58 01-Mar-2016,Argos,1,-63.4230,-56.7660,,,,,,,,,
"131120",131120,Mk10,22:17:32 01-Mar-2016,Argos,B,-63.4380,-56.6810,,,,,,,,,
"131120",131120,Mk10,22:28:53 01-Mar-2016,Argos,B,-63.4360,-56.6670,,,,,,,,,
"131120",131120,Mk10,00:02:44 02-Mar-2016,Argos,A,-63.5000,-56.6550,,,,,,,,,
"131120",131120,Mk10,00:06:20 02-Mar-2016,Argos,B,-63.5140,-56.6830,,,,,,,,,
"131120",131120,Mk10,00:51:12 02-Mar-2016,Argos,B,-63.5550,-56.7150,,,,,,,,,
"131120",131120,Mk10,01:00:07 02-Mar-2016,Argos,B,-63.5250,-56.6670,,,,,,,,,
"131120",131120,Mk10,02:25:46 02-Mar-2016,Argos,0,-63.5660,-56.6520,,,,,,,,,
"131120",131120,Mk10,02:40:11 02-Mar-2016,Argos,A,-63.5780,-56.7390,,,,,,,,,
"131120",131120,Mk10,03:18:08 02-Mar-2016,Argos,B,-63.5810,-56.6430,,,,,,,,,
"131120",131120,Mk10,03:18:08 02-Mar-2016,Argos,B,-63.5830,-56.6610,,,,,,,,,
"131120",131120,Mk10,03:25:37 02-Mar-2016,Argos,B,-63.5610,-56.6740,,,,,,,,,
"131120",131120,Mk10,04:09:07 02-Mar-2016,Argos,B,-63.5710,-56.6770,,,,,,,,,
"131120",131120,Mk10,04:55:55 02-Mar-2016,Argos,B,-63.5710,-56.7480,,,,,,,,,
"131120",131120,Mk10,05:05:50 02-Mar-2016,Argos,A,-63.5620,-56.7480,,,,,,,,,
"131120",131120,Mk10,05:47:47 02-Mar-2016,Argos,B,-63.5590,-56.7540,,,,,,,,,
"131120",131120,Mk10,05:57:37 02-Mar-2016,Argos,2,-63.5550,-56.7540,,,,,,,,,
"131120",131120,Mk10,06:39:45 02-Mar-2016,Argos,B,-63.5610,-56.7660,,,,,,,,,
"131120",131120,Mk10,06:45:39 02-Mar-2016,Argos,B,-63.5680,-56.7520,,,,,,,,,
"131120",131120,Mk10,07:26:27 02-Mar-2016,Argos,B,-63.5690,-56.7570,,,,,,,,,
"131120",131120,Mk10,07:35:26 02-Mar-2016,Argos,B,-63.5820,-56.7740,,,,,,,,,
"131120",131120,Mk10,08:15:52 02-Mar-2016,Argos,0,-63.5880,-56.8740,,,,,,,,,
"131120",131120,Mk10,08:27:43 02-Mar-2016,Argos,B,-63.5720,-56.9300,,,,,,,,,
"131120",131120,Mk10,10:01:28 02-Mar-2016,Argos,B,-63.5880,-57.0000,,,,,,,,,
"131120",131120,Mk10,10:39:07 02-Mar-2016,Argos,0,-63.6120,-56.7370,,,,,,,,,
"131120",131120,Mk10,10:58:10 02-Mar-2016,Argos,B,-63.6170,-56.7060,,,,,,,,,
"131120",131120,Mk10,11:13:28 02-Mar-2016,Argos,B,-63.7050,-56.8020,,,,,,,,,
"131120",131120,Mk10,12:24:24 02-Mar-2016,Argos,1,-63.6190,-56.5860,,,,,,,,,
"131120",131120,Mk10,12:55:07 02-Mar-2016,Argos,A,-63.6340,-56.5230,,,,,,,,,
"131120",131120,Mk10,13:12:01 02-Mar-2016,Argos,1,-63.6200,-56.5330,,,,,,,,,
"131120",131120,Mk10,14:05:28 02-Mar-2016,Argos,B,-63.6460,-56.4630,,,,,,,,,
"131120",131120,Mk10,14:34:35 02-Mar-2016,Argos,B,-63.6600,-56.4110,,,,,,,,,
"131120",131120,Mk10,16:15:09 02-Mar-2016,Argos,B,-63.6920,-56.2750,,,,,,,,,
"131120",131120,Mk10,18:54:14 02-Mar-2016,Argos,1,-63.8040,-56.5500,,,,,,,,,
"131120",131120,Mk10,20:24:46 02-Mar-2016,Argos,2,-63.8490,-56.5740,,,,,,,,,
"131120",131120,Mk10,20:35:42 02-Mar-2016,Argos,1,-63.8510,-56.6050,,,,,,,,,
"131120",131120,Mk10,22:05:30 02-Mar-2016,Argos,A,-63.8540,-56.6620,,,,,,,,,
"131120",131120,Mk10,22:15:27 02-Mar-2016,Argos,1,-63.8560,-56.6930,,,,,,,,,
"131120",131120,Mk10,22:47:01 02-Mar-2016,Argos,A,-63.9020,-56.7240,,,,,,,,,
"131120",131120,Mk10,22:56:54 02-Mar-2016,Argos,0,-63.8710,-56.7300,,,,,,,,,
"131120",131120,Mk10,00:26:51 03-Mar-2016,Argos,1,-63.8630,-56.6830,,,,,,,,,
"131120",131120,Mk10,00:38:55 03-Mar-2016,Argos,2,-63.8540,-56.7130,,,,,,,,,
"131120",131120,Mk10,02:07:46 03-Mar-2016,Argos,2,-63.9170,-56.9080,,,,,,,,,
"131120",131120,Mk10,02:17:14 03-Mar-2016,Argos,B,-63.9290,-56.9260,,,,,,,,,
"131120",131120,Mk10,02:59:15 03-Mar-2016,Argos,B,-63.9180,-57.0210,,,,,,,,,
"131120",131120,Mk10,03:08:12 03-Mar-2016,Argos,A,-63.9480,-57.0760,,,,,,,,,
"131120",131120,Mk10,03:13:24 03-Mar-2016,Argos,A,-63.9350,-57.1050,,,,,,,,,
"131120",131120,Mk10,03:44:15 03-Mar-2016,Argos,1,-63.9610,-57.1870,,,,,,,,,
"131120",131120,Mk10,03:51:33 03-Mar-2016,Argos,B,-63.9540,-57.1530,,,,,,,,,
"131120",131120,Mk10,04:49:50 03-Mar-2016,Argos,B,-63.9790,-57.2240,,,,,,,,,
"131120",131120,Mk10,04:54:26 03-Mar-2016,Argos,2,-63.9780,-57.3250,,,,,,,,,
"131120",131120,Mk10,05:27:43 03-Mar-2016,Argos,A,-64.0080,-57.3370,,,,,,,,,
"131120",131120,Mk10,05:29:34 03-Mar-2016,Argos,B,-64.0080,-57.3370,,,,,,,,,
"131120",131120,Mk10,06:30:23 03-Mar-2016,Argos,B,-64.0450,-57.4200,,,,,,,,,
"131120",131120,Mk10,06:32:19 03-Mar-2016,Argos,B,-64.0360,-57.4820,,,,,,,,,
"131120",131120,Mk10,07:05:25 03-Mar-2016,Argos,A,-64.0170,-57.4330,,,,,,,,,
"131120",131120,Mk10,07:13:12 03-Mar-2016,Argos,A,-64.0680,-57.4850,,,,,,,,,
"131120",131120,Mk10,08:05:44 03-Mar-2016,Argos,B,-64.0230,-57.4690,,,,,,,,,
"131120",131120,Mk10,08:42:57 03-Mar-2016,Argos,1,-64.0320,-57.3730,,,,,,,,,
"131120",131120,Mk10,08:51:15 03-Mar-2016,Argos,2,-64.0130,-57.3590,,,,,,,,,
"131120",131120,Mk10,10:21:46 03-Mar-2016,Argos,B,-64.0080,-57.0830,,,,,,,,,
"131120",131120,Mk10,10:47:19 03-Mar-2016,Argos,0,-63.9930,-57.0950,,,,,,,,,
"131120",131120,Mk10,11:17:13 03-Mar-2016,Argos,B,-63.9960,-57.0840,,,,,,,,,
"131120",131120,Mk10,12:01:53 03-Mar-2016,Argos,A,-63.9430,-57.0230,,,,,,,,,
"131120",131120,Mk10,12:24:41 03-Mar-2016,Argos,A,-63.9490,-57.0110,,,,,,,,,
"131120",131120,Mk10,12:56:01 03-Mar-2016,Argos,2,-63.9360,-56.9740,,,,,,,,,
"131120",131120,Mk10,13:42:06 03-Mar-2016,Argos,A,-63.9540,-57.0640,,,,,,,,,
"131120",131120,Mk10,14:03:18 03-Mar-2016,Argos,1,-63.9900,-57.1810,,,,,,,,,
"131120",131120,Mk10,15:24:26 03-Mar-2016,Argos,B,-63.9860,-57.1770,,,,,,,,,
"131120",131120,Mk10,15:43:18 03-Mar-2016,Argos,B,-63.9880,-57.1630,,,,,,,,,
"131120",131120,Mk10,16:58:44 03-Mar-2016,Argos,B,-63.9740,-57.0810,,,,,,,,,
"131120",131120,Mk10,18:42:46 03-Mar-2016,Argos,2,-63.9670,-56.7780,,,,,,,,,
"131120",131120,Mk10,18:57:20 03-Mar-2016,Argos,A,-63.9680,-56.8620,,,,,,,,,
"131120",131120,Mk10,20:12:35 03-Mar-2016,Argos,A,-63.9420,-56.9160,,,,,,,,,
"131120",131120,Mk10,20:22:54 03-Mar-2016,Argos,2,-63.9200,-56.8580,,,,,,,,,
"131120",131120,Mk10,20:35:37 03-Mar-2016,Argos,0,-63.9170,-56.8470,,,,,,,,,
"131120",131120,Mk10,20:57:21 03-Mar-2016,Argos,B,-63.9160,-56.8480,,,,,,,,,
"131120",131120,Mk10,22:00:24 03-Mar-2016,Argos,B,-63.9000,-56.7850,,,,,,,,,
"131120",131120,Mk10,22:07:02 03-Mar-2016,Argos,B,-63.9000,-56.7540,,,,,,,,,
"131120",131120,Mk10,22:19:07 03-Mar-2016,Argos,A,-63.8950,-56.7160,,,,,,,,,
"131120",131120,Mk10,22:34:40 03-Mar-2016,Argos,1,-63.9080,-56.5990,,,,,,,,,
"131120",131120,Mk10,00:05:53 04-Mar-2016,Argos,B,-63.8860,-56.5530,,,,,,,,,
"131120",131120,Mk10,00:14:19 04-Mar-2016,Argos,A,-63.9220,-56.6150,,,,,,,,,
"131120",131120,Mk10,02:41:46 04-Mar-2016,Argos,A,-63.9270,-56.6370,,,,,,,,,
"131120",131120,Mk10,02:55:23 04-Mar-2016,Argos,B,-63.9250,-56.6220,,,,,,,,,
"131120",131120,Mk10,03:02:35 04-Mar-2016,Argos,A,-63.9240,-56.6160,,,,,,,,,
"131120",131120,Mk10,03:26:55 04-Mar-2016,Argos,A,-63.9560,-56.6310,,,,,,,,,
"131120",131120,Mk10,03:33:09 04-Mar-2016,Argos,B,-63.9260,-56.6360,,,,,,,,,
"131120",131120,Mk10,04:31:48 04-Mar-2016,Argos,B,-63.9180,-56.7780,,,,,,,,,
"131120",131120,Mk10,04:40:05 04-Mar-2016,Argos,A,-63.9850,-56.7830,,,,,,,,,
"131120",131120,Mk10,05:08:30 04-Mar-2016,Argos,B,-63.9840,-56.8040,,,,,,,,,
"131120",131120,Mk10,05:08:30 04-Mar-2016,Argos,B,-63.9850,-56.7980,,,,,,,,,
"131120",131120,Mk10,06:08:35 04-Mar-2016,Argos,B,-63.9820,-56.8260,,,,,,,,,
"131120",131120,Mk10,06:23:21 04-Mar-2016,Argos,A,-63.9840,-56.8780,,,,,,,,,
"131120",131120,Mk10,07:51:58 04-Mar-2016,Argos,2,-64.0330,-56.9220,,,,,,,,,
"131120",131120,Mk10,08:02:39 04-Mar-2016,Argos,B,-64.0340,-56.9270,,,,,,,,,
"131120",131120,Mk10,08:28:04 04-Mar-2016,Argos,B,-64.0290,-56.9200,,,,,,,,,
"131120",131120,Mk10,08:34:17 04-Mar-2016,Argos,A,-64.0150,-56.9030,,,,,,,,,
"131120",131120,Mk10,10:04:12 04-Mar-2016,Argos,A,-64.0330,-56.7680,,,,,,,,,
"131120",131120,Mk10,10:06:00 04-Mar-2016,Argos,B,-64.0330,-56.7740,,,,,,,,,
"131120",131120,Mk10,10:12:41 04-Mar-2016,Argos,B,-64.0530,-56.9020,,,,,,,,,
"131120",131120,Mk10,11:17:22 04-Mar-2016,Argos,B,-64.0550,-56.9100,,,,,,,,,
"131120",131120,Mk10,11:40:29 04-Mar-2016,Argos,0,-64.0520,-56.8670,,,,,,,,,
"131120",131120,Mk10,11:48:48 04-Mar-2016,Argos,B,-64.0530,-56.8690,,,,,,,,,
"131120",131120,Mk10,11:53:50 04-Mar-2016,Argos,2,-64.0510,-56.8510,,,,,,,,,
"131120",131120,Mk10,12:35:03 04-Mar-2016,Argos,A,-64.0600,-56.8170,,,,,,,,,
"131120",131120,Mk10,13:21:12 04-Mar-2016,Argos,1,-64.0700,-56.8660,,,,,,,,,
"131120",131120,Mk10,13:32:50 04-Mar-2016,Argos,1,-64.0740,-56.8910,,,,,,,,,
"131120",131120,Mk10,15:03:20 04-Mar-2016,Argos,B,-64.0850,-56.8950,,,,,,,,,
