DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"131120",131120,Mk10,21:11:23 11-Nov-2013,,,2,47.6750,-122.1370,CRC 62541.13422,21:11:21 11-Nov-2013,Status,0,6,215,82,213,244,77,,,,,,,,,,,,,,,,,,,,,,,,,
"131120",131120,Mk10,22:08:23 11-Nov-2013,,,2,47.6780,-122.1350,CRC 51264.2107,22:08:21 10-Nov-2013,Status,2,6,213,98,21,200,64,,,,,,,,,,,,,,,,,,,,,,,,,
"131120",131120,Mk10,22:13:23 11-Nov-2013,,,2,47.6780,-122.1350,Likely MiniPAT,22:13:23 11-Nov-2013,Status,2,22,215,99,85,224,66,,,,,,,,,,,,,,,,,,,,,,,,,
"131120",131120,Mk10,22:57:23 11-Nov-2013,,,2,47.6760,-122.1360,CRC 19520.35965,06:57:21 11-Nov-2013,Status,2,6,214,110,85,76,64,,,,,,,,,,,,,,,,,,,,,,,,,
"131120",131120,Mk10,01:27:23 12-Nov-2013,,,3,47.6780,-122.1350,CRC 1293.50412,01:27:21 08-Nov-2013,Status,2,6,208,22,213,5,13,,,,,,,,,,,,,,,,,,,,,,,,,
"131120",131120,Mk10,20:54:30 28-Feb-2016,,,,,,CRC 55509.57535,01:14:00 29-Feb-2016,Behavior,189,141,80,186,19,128,91,42,64,150,195,133,130,0,64,41,45,82,225,179,56,109,133,142,26,94,41,190,41,136,152,
"131120",131120,Mk10,20:59:32 28-Feb-2016,,,,,,CRC 11318.61754,01:00:00 29-Feb-2016,TimeSeries,210,195,96,186,24,0,48,60,60,60,60,60,60,84,200,4,132,130,250,191,123,30,40,208,120,119,34,99,76,42,250,
"131120",131120,Mk10,20:59:32 28-Feb-2016,,,,,,CRC 11318.24604,01:00:00 29-Feb-2016,TimeSeries,210,195,96,186,24,0,48,60,60,60,60,60,60,84,200,4,132,130,198,226,229,24,20,140,20,5,78,142,28,100,129,
"131120",131120,Mk10,21:13:40 28-Feb-2016,,,,,,CRC 11318.41251,01:00:00 29-Feb-2016,TimeSeries,210,195,96,186,24,0,48,60,60,60,60,60,60,84,200,4,132,131,59,179,132,81,27,191,255,128,57,119,241,255,125,
"131120",131120,Mk10,22:36:09 28-Feb-2016,,,B,-63.4340,-56.8090,CRC 44269.33731,01:39:00 29-Feb-2016,Behavior,186,206,208,186,25,193,192,3,5,71,74,64,214,22,182,54,93,156,52,40,183,83,113,23,72,88,115,205,119,191,238,
"131120",131120,Mk10,22:41:57 28-Feb-2016,,,,,,CRC 11318.61753,01:00:00 29-Feb-2016,TimeSeries,210,195,96,186,24,16,57,28,60,49,119,19,255,66,254,25,174,213,207,25,254,104,211,210,127,18,252,166,156,24,114,
"131120",131120,Mk10,22:49:00 28-Feb-2016,,,,,,29-Feb-2016 02:00 > 28-Feb-2016 22:49,02:00:00 29-Feb-2016,TimeSeries,216,118,240,186,40,2,44,21,138,59,251,64,17,16,89,129,22,198,245,69,80,149,65,85,65,148,21,84,25,84,16,
